Date,Close,High,Low,Open,Volume,return,log_return,volatility_20d,annualized_volatility_20d,momentum_20d,momentum_60d,sma_20,sma_50,sma_200,distance_from_sma20,running_max,drawdown,walk_forward_regime,regime_confidence,regime_label,momentum_signal,mean_reversion_signal,momentum_position,mean_reversion_position,tradable_regime,momentum_return,mean_reversion_return
2014-10-09,158.33187866210938,161.50278833760757,158.2004390040593,161.280985481495,210705000,-0.0198329044338692,-0.0200322161722354,0.0097324370395596,0.1544976483436114,-0.0332452334181909,-0.021817747149807,162.11485214233397,161.64311767578124,155.2198159790039,-0.0233351443759342,165.01951599121094,-0.040526341923447,0,0.9999491808115109,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0198329044338692,-0.0
2014-10-10,156.52462768554688,159.07942827749446,156.48356375692845,158.290815333325,221909000,-0.0114143215619849,-0.011479964924696,0.0099365783737935,0.157738291559762,-0.0386647464948696,-0.0218657575807563,161.80008239746093,161.61598205566406,155.26140617370606,-0.0326047714793799,165.01951599121094,-0.0514780827869868,0,0.999984475587095,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0114143215619849,-0.0
2014-10-13,153.95338439941406,157.02570787709192,153.86302120684854,156.45889788893538,230939000,-0.0164270845051831,-0.0165635051164016,0.0104446027087602,0.1658029278615068,-0.0537437023641568,-0.0476660217399881,161.36288452148438,161.5470703125,155.286372756958,-0.0459182428725348,165.01951599121094,-0.0670595324760634,0,0.9998892121799772,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0164270845051831,-0.0
2014-10-14,154.19161987304688,155.93316403572277,153.64944067519184,154.78308580983855,215847000,0.0015474520067368,0.0015462559366287,0.0102187838020631,0.1622181638507651,-0.0593703960927544,-0.0444037139364155,160.87627334594723,161.46019287109374,155.31257133483888,-0.0415515186538771,165.01951599121094,-0.0656158518774274,0,0.9999800721505576,Intermediate,-1.0,0.0,-1.0,0.0,0,-0.0015474520067368,0.0
2014-10-15,153.1483154296875,154.18338693433543,149.44344985840436,152.10504618278952,380715000,-0.0067662849914825,-0.0067892800840415,0.0101979160234024,0.1618868981342615,-0.0669914049703552,-0.0549877932222984,160.32645950317382,161.383193359375,155.33367462158202,-0.0447720488291841,165.01951599121094,-0.0719381613151484,0,0.9999670635683224,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0067662849914825,-0.0
2014-10-16,153.0169677734375,154.09310375673525,150.24036345516592,150.38001344573013,270391000,-0.0008576500229955,-0.0008580180151972,0.0100108948114656,0.1589180284341901,-0.0727341135724377,-0.0578896755789662,159.72633209228516,161.3025845336914,155.35059684753418,-0.0420053740104117,165.01951599121094,-0.0727341135724377,0,0.9999751825031168,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0008576500229955,-0.0
2014-10-17,154.8241424560547,155.87563453471907,154.125880317747,154.78306600060583,214625000,0.0118102894660214,0.0117410922903089,0.0105863089647976,0.1680524449376897,-0.060937005147072,-0.0468109887118194,159.22399520874023,161.275126953125,155.38372528076172,-0.0276331010719672,165.01951599121094,-0.0617828350417611,0,0.999918351818547,Intermediate,-1.0,0.0,-1.0,0.0,0,-0.0118102894660214,0.0
2014-10-20,156.32748413085938,156.450700988959,154.49558914337516,154.54487588661502,130011000,0.009709995165847,0.0096631561232908,0.010897469433487,0.1729919642456074,-0.0444384502728436,-0.0330290048504858,158.86049423217773,161.24159545898436,155.42449188232422,-0.0159448710868059,165.01951599121094,-0.052672750905502,0,0.9999426949165326,Intermediate,-1.0,0.0,-1.0,0.0,0,-0.009709995165847,0.0
2014-10-21,159.42449951171875,159.5312833009162,157.29685852162808,157.46115188059164,154949000,0.0198110741567805,0.0196173887256539,0.0119130769381953,0.1891142335682621,-0.0198974611436194,-0.0142707483434761,158.69866714477538,161.26084686279296,155.48289054870605,0.0045736513103868,165.01951599121094,-0.0339051805229521,0,0.999275059862512,Intermediate,-1.0,0.0,-1.0,0.0,0,-0.0198110741567805,0.0
2014-10-22,158.290771484375,160.1144556478967,158.22505166810348,159.70371619727962,151822000,-0.0071113789337028,-0.0071367853101043,0.0118024187184171,0.1873575887879119,-0.0344259742285711,-0.0170563969044945,158.41648712158204,161.26183898925785,155.53108352661133,-0.0007935767260799,165.01951599121094,-0.0407754468701405,0,0.9995864379494662,Intermediate,-1.0,0.0,-1.0,0.0,0,0.0071113789337028,-0.0
